Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
Jacob Eggleston,American,1773,1813,
Lewis Fourniquet,American,1791,1825,
Caroline Marie Gleason,,,9999,Female
R. C.,German,,9999,
Job & John Jackson,,1831,1835,
Samuel Kilbourn,American,1793,1839,
Samuel Minott,American,1732,1803,
"William Ridgway, Son & Co.",,1833,1848,
Sowerby's Ellison Glass Works Limited,,,9999,
Joseph Stubbs,,1819,1836,
Amos Treadway,American,1738,1814,
Amos Treadway Jr.,,1762,1808,
John Will,American,1696,1774,
William Will,American,1742,1798,
William Adams & Sons,British,1814,2063,
Alexander Grant,American,,9999,
Minic Accessories,American,,9999,
Theophilus Nash,American,1854,1854,
Andrea Ferara,American,1530,1630,
Caleb Gardner,American,1711,1761,
Simon Willard,American,1753,1848,
William LeBaron Jenney,,1832,1907,
William B. Mundie,American,,,
American Encaustic Tile Company,American,1875,1935,
Herman Carl Mueller,American,1854,1941,
Lois Whitcomb Rhead,American,1892,1994,
Toby E. Rosenthal,American,1848,1917,
Julius Dessoir,German (Prussian),1801,1884,
Spaulding and Company,American,,9999,
Hood and Tobey,American,,9999,
Karl Kipp,American,1882,1954,
Roycroft,,1895,1938,
William Beattie,British,1793,1875,
Samuel Phippen,American,1741,1798,
Aetna Furnace,American,1776,1776,
Colebrookdale Furnace,American,1720,1765,
Oxford Furnace,American,1743,1882,
A. T.,American,,9999,
Hylas Sack and Bucket Company,American,,9999,
John La Farge,American,1835,1910,
Samuel Flower,American,,9999,
Rufus Farnam,American,1793,1833,
Henry Farnam,American,1773,1833,
Kensington Vial and Bottle Works of Sheets and Duffy,American,,,
Henry William Stiegel,"American, born Germany",1729,1785,
American Flint Glass Manufactory,American,1764,1774,
Albany Glass Works,American,,9999,
Baltimore Glass Works,American,1800,1890,
Bridgetown Glass Works,American,,9999,
Coventry Glass Works,American,1813,1813,
Keene Marlboro Street Glassworks,American,1815,1841,
Dyottville Glass Works,American,1833,1833,
Kensington Glass Works,American,1816,1816,
Kentucky Glass Works,American,1850,1855,
Zanesville Glass Manufacturing Company,,1815,1851,
Lancaster Glass Works,American,1849,1881,
Louisville Glass Works,American,1855,1855,
Nicholas Lutz,,,9999,
McCarty and Torreyson,American,1842,1842,
Mount Vernon Glass Works,American,1810,1844,
Knox and McKee (Virginia Green Glass Works),American,1820,1833,
J. R. Robinson and Sons,American,1823,1823,
Westford Glass Company,American,1857,1873,
White Glass Works,American,1815,1815,
James Pottery,American,1796,1863,
